text,score_?,score_2,score_1,score_3,high_influential,high_factbasedness,high_inaccuracy,high_opinionated,high_accountability,high_unobjectivity_tone,noise
"The study was funded by the National Institute for Health Research Biomedical Research Centre at UCLH, where Batterham is Obesity Theme Director.",False,False,False,True,False,False,False,False,True,False,False
This story has been published from a wire agency feed without modifications to the text. Only the headline has been changed.,False,False,False,True,False,False,False,False,True,False,False
"Watch the Game:How to watch Florida State vs. No. 14 Miami Hurricanes football on TV, live stream",False,False,False,False,False,False,False,False,False,False,True
"FSU is 0-1 after losing to Georgia Tech 16-13 on Saturday, Sept. 12.",False,False,False,True,False,True,False,False,False,False,False
No. 14-ranked Miami comes into the rivalry matchup 2-0 overall and 1-0 in the ACC after defeating Louisville 47-34 on Sept. 19.,False,False,False,True,False,True,False,False,False,False,False
More from ESPN College GameDay: Top signs from Florida State vs. Miami Hurricanes football,False,False,False,False,False,False,False,False,False,False,True
"Just the Facts: Previewing and predicting Florida State at No. 14 Miami
",False,False,False,False,False,False,False,False,False,False,True
Rilvary Matchup:Mike Norvell joins College GameDay to discuss challenge of not being at FSU-Miami game,False,False,False,False,False,False,False,False,False,False,True
Mike Norvell is the FSU football head coach. Manny Diaz is the Miami Hurricanes football head coach.,False,True,False,False,False,True,False,False,False,False,False
Bryce Houston is a digital producer with the USA Today Network. You can find him on Twitter @B_ryce8.,False,False,False,False,False,False,False,False,False,False,True
Google announced a bunch of products at its big hardware event. ,False,False,False,True,False,True,False,False,False,False,False
"As expected, we saw the Google Pixel 5, its new $699 flagship 5G-ready phone. We also saw a more affordable Pixel 4A with 5G support that costs $499. In the US, only the Pixel 5 is available for preorder with a release date for October 15th. The Pixel 4A 5G is coming to most countries in November and you can join a waitlist through the link below (it’s coming to Japan first on October 15th).",False,False,False,True,False,True,False,False,False,False,False
"If you were interested the new Chromecast, you won’t have to preorder that as it’s available starting today from a variety of retailers, including Best Buy, the Google Store and Best Buy. As for the Nest Audio, it will be available in 21 countries starting on October 5th.",False,False,False,True,False,True,False,False,False,False,False
Prices taken at time of publishing.,False,False,False,False,False,False,False,False,False,False,True
"Google’s latest flagship phone comes in one size, with a six-inch OLED screen and 128GB of storage. However, you can choose between black or green colors. Prices start at $699. It’s available for preorder now and releasing October 15th.",False,False,False,True,False,True,False,False,False,False,False
Prices taken at time of publishing.,False,False,False,False,False,False,False,False,False,False,True
"Priced at $499, Google’s Pixel 4A 5G is a slightly bigger, 5G-ready version of the 4A that released earlier this year. You can join a waitlist for the phone, which will release in November in most countries. It’s coming to Japan on Oct. 15th.",False,False,False,True,False,True,False,False,False,False,False
Prices taken at time of publishing.,False,False,False,False,False,False,False,False,False,False,True
"Unlike other Chromecasts, Google’s latest model doesn’t require a phone to use and it runs on a new OS, Google TV. It’s $50 and you can buy it today.",False,False,False,True,False,True,False,False,False,False,False
Prices taken at time of publishing.,False,False,False,False,False,False,False,False,False,False,True
Google Nest’s latest smart speaker is simply called the Nest Audio. It’s $99 and you can preorder it right now. It’ll release on October 5th.,False,False,False,True,False,True,False,False,False,False,False
"Election officials are encouraging voters to cast their ballots early to ease the load on Election Day polling places. The more people who vote in advance, the shorter lines will be next month.",False,True,False,False,False,False,True,False,False,False,False
"Turnout is expected to break records, with a total of 5 million voters predicted.",False,True,False,False,False,False,True,False,False,False,False
About two-thirds of voters said in a poll by The Atlanta Journal-Constitution they plan to cast their ballots in advance.,False,True,False,False,False,False,False,False,True,False,False
"The largest number of in-person early voters Monday were in Fulton County, where more than 30 polling places were open and over 16,000 people voted. Fewer early voting sites were available in surrounding counties.",False,True,False,False,False,False,True,False,False,False,False
"There were more than 15,000 in-person early votes cast in DeKalb County, about 8,700 in Gwinnett County and over 7,600 in Cobb County, according to state election data.
",False,True,False,False,False,False,False,False,True,False,False
"That has amounted to an enormous number of early votes cast—more than 21 million as of Friday morning, according to the early vote tabulation site, United States Elections Project",False,True,False,False,False,False,False,False,True,False,False
That's equivalent to 15.4% of the total votes counted in 2016.,False,False,False,True,False,False,False,True,False,False,False
"In fact, Michael McDonald, the University of Florida political scientist who runs the site, guesses that as many as 40 million Americans may have voted by the end of next week.",False,True,False,False,False,False,True,False,False,False,False
" If that were to happen, that would account for nearly 30% of the 138 million votes cast in 2016.",False,False,False,True,False,False,False,True,False,False,False
"“This is a completely different election than anything we’ve seen in the past,” McDonald told the Washington Post's Greg Sargent. “The numbers are off the charts,” he said, adding that the vast majority of early votes so far have still been by mail.",False,True,False,False,False,False,False,False,True,False,False
"But beyond being on target for historic turnout nationwide, it also means that Trump's efforts appear to have backfired.",False,True,False,False,False,False,True,False,False,False,False
" Rather than suppressing voter enthusiasm, Trump has driven it sky-high. ",False,True,False,False,False,False,False,False,False,True,False
"Plus, all those early votes will allow many states to get a jump on their vote counting rather than trying to process record numbers primarily on Election Day itself.",False,True,False,False,False,False,False,False,False,True,False
"“That’s going to help elections officials,” McDonald said.",False,True,False,False,False,False,False,False,True,False,False
Quicker processing means it's at least possible that some of the worst-case scenarios about election results being delayed for days or even weeks followed by ensuing chaos could be avoided.,False,False,False,True,False,False,False,True,False,False,False
"McDonald anticipates that some important battleground states like Florida, North Carolina, and Arizona will be able to process their votes quickly—partly due to their specific voting laws and partly due to the votes coming in so early. ",False,True,False,False,False,False,False,False,True,False,False
"All of those states could become decent, and maybe even definitive, indicators of which way the electoral vote count is heading, taking some pressure off the upper Midwest states where vote counting rules will significantly slow tallies. Michigan, Wisconsin, and Pennsylvania all fall into that category.",False,False,False,True,False,False,False,True,False,False,False
"Additionally, because Democrats have been outpacing Republicans by a 2-to-1 ratio in 42 early voting states, according to an Associated Press analysis, it's Trump who will be playing catch up on election night, not Biden, says McDonald.",False,True,True,False,False,False,False,False,True,False,False
"And that could rob Trump of an opportunity to claim an early victory while the mail-in ballots are still being counted in the Rust Belt states. In Michigan, Wisconsin, and Pennsylvania, it's entirely possible that Trump will lead on election night until the mail-in ballots are counted. The election laws in Pennsylvania, for example, prohibit election officials from even starting to count mail-in ballots until the polls close. But if, for instance, Florida, Arizona, and/or North Carolina have been called for Biden, that would kneecap Trump.",False,False,False,True,False,False,False,True,False,False,False
"By and large, Democratic voters appear to have gotten the memo: Vote early, very early, and just maybe we can preempt Trump from having any credible claim to victory on election night. That may not stop him from claiming it anyway, but it will definitely shade the way journalists cover his bogus antics.",False,False,False,True,False,False,False,False,False,True,False
MARNUS Labuschagne picked up his prolific form from the last Australian season with his highest Sheffield Shield score of 167 from 230 balls to put Queensland in command against Tasmania as he was well supported by Bryce Street and Matt Renshaw.,False,False,False,True,False,False,False,True,False,False,False
Tasmania were left to rue a wasteful morning session where their fielding could not support some challenging pace bowling as Labuschagne was given three lives – including two in one over against Jackson Bird – after Peter Siddle had removed Joe Burns early to claim his first wicket for the state.,False,True,False,False,False,False,False,False,False,True,False
"Queensland scored at barely more than a run an over during the first part of the morning session, but their early repelling of Tasmania’s strong pace attack would bring rewards later and the second two sessions brought 259 runs from 64 overs.",False,True,False,False,False,True,False,False,False,False,False
"Labuschagne was 12 off 43 balls when the over began against Bird during which he would be spilled twice – both tough chances to second slip and midwicket – and by lunch, when he later revealed he opted to change to a lighter bat, had himself a foundation.",False,True,False,False,False,True,False,False,False,False,False
"His scoring rate continued to pick up during the afternoon and he went to tea on 97, bringing up his century shortly after the interval off 151 balls – his second fifty taking just 51 deliveries.",False,False,False,True,False,True,False,False,False,False,False
"“I thought I was quite scratchy to about 30, I didn’t feel like I was batting that well but after lunch it all came together,” he said. “I changed to a much lighter bat, every time I tried to drive it I just nicked it so I was like, that one’s gone.”",False,False,False,True,False,False,False,False,True,False,False
"It was his fifth Shield century but first since March 2018, since when he had made nine other first-class hundreds: five for Glamorgan and four for Australia. He converted into 167 before finally being extracted late in the late by a terrific yorker from Beau Webster, who was the fielder involved in two of the chances missed, operating in his medium-pace mode.
",False,False,False,True,False,True,False,False,False,False,False
"Street was a vital partner in laying Queensland’s strong position as he, too, picked up from last season where he faced more deliveries in the Sheffield Shield than anyone else during a hugely impressive first summer. That doggedness was again on display as he took 87 balls to reach double figures but knew the value of putting miles in the bowlers’ legs.",False,False,False,True,False,False,False,True,False,False,False
His half-century came from 173 balls before he fell to a Riley Meredith short delivery which he top-edged to long leg and briefly Tasmania threatened to bring themselves back into the contest when Nathan Ellis won an lbw decision against Usman Khawaja.,False,True,False,False,False,True,False,False,False,False,False
"As with several decisions against him last year, Khawaja did not look too impressed.",False,True,False,False,False,False,True,False,False,False,False
"Renshaw, recast as a middle-order batsman, joined in a stand of 125 with the increasingly expansive Labuschagne which took Queensland into the lead.
",False,False,False,True,False,False,False,True,False,False,False
"The breakthrough came against the run of play when Renshaw was run out by a direct hit from Webster at cover – a tight call for the on-field umpire – but despite also seeing the back of Labuschagne, Tasmania still faced conceding a hefty lead",False,False,False,True,False,False,False,True,False,False,False
 .(ESPN Cricinfo),False,False,False,False,False,False,False,False,False,False,True
"La Nina is a weather phenomenon linked to the shifting pattern of sea surface temperatures through the Pacific and Indian Oceans, which impacts rainfall and temperature variations in Australia.",False,False,False,False,False,True,False,False,True,False,False
" Typically, La Nina is associated with heavier rainfall and increased numbers of tropical cyclones.",False,False,False,False,False,True,False,False,True,False,False
"On the bright side, a rainier summer means the danger of bushfires decreases.",False,False,False,False,False,True,False,False,True,False,False
" But La Nina has in the past brought devastating storms, including in 2010-11 when Cyclone Yasi thrashed far north Queensland and caused millions of dollars in damage.",False,False,False,False,False,True,False,False,True,False,False
" Meteorologists believe this summer will bring extreme weather, although of a different kind than last year.",True,False,False,False,False,False,False,True,False,False,False
" “Generally, it’s the opposite of what we saw last year. We had the hottest and driest year on record, with a drought, devastating bushfires and dust storms coming through,” Sky News Weather channel’s chief meteorologist Tom Saunders said.“With La Nina though, we can expect higher rainfall, higher risk of flooding, and also a higher risk of tropical cyclones.”",False,False,False,False,True,False,False,False,True,False,False
"For Australia’s farmers, the increased rainfall so far this year has meant welcome relief from drought. But too much rain at the wrong time could deal another blow to the agricultural industry.",False,False,False,False,False,True,False,False,True,False,False
"“Farmers love rain, but not when it’s harvest time,” Mr. Saunders said.",False,False,False,False,True,False,False,False,True,False,False
"The US National Oceanic and Atmospheric Administration already declared La Nina conditions were present earlier this month, using different measurements compared to those of the BOM. ",False,False,False,False,True,False,False,False,True,False,False
"La Nina can be considered the inverse of El Nino, and the former event often follows the latter.",False,False,False,False,False,True,False,False,True,False,False
" El Nino is associated with drier weather conditions, as seen during last summer’s extreme bushfire season.",False,False,False,False,False,True,False,False,True,False,False
[X],False,False,False,True,False,False,False,False,False,False,False
[X],False,False,True,False,False,False,False,False,False,False,False
[X],False,False,True,False,False,False,False,False,False,False,False
[X],False,False,False,True,False,False,False,False,False,False,False
[X],False,False,True,False,False,False,False,False,False,False,False
[X],False,False,True,False,False,False,False,False,False,False,False
A special senate race to fill the late Republican Sen. John McCain’s seat in Arizona could be the tipping point in the fight over confirming a Supreme Court Justice to replace Justice Ruth Bader Ginsburg.,True,False,False,False,False,False,False,True,False,False,False
"Democrat Mark Kelly, the former astronaut and husband of ex-Rep Gabby Giffords, who is Jewish, is likely to win a race against Republican Sen. ",True,False,False,False,False,False,False,True,False,False,False
"Martha McSally and could get sworn in early, according to state law. ",False,False,False,False,False,True,False,False,True,False,False
"That would shrink the Republican Senate majority, slashing the number of necessary GOP defectors from four to three to block a Supreme Court appointment.",True,False,False,False,False,False,False,True,False,False,False
"Susan Collins of Maine and Lisa Murkowski of Alaska have already indicated they would decline to tow the party line, and Mitt Romney of Utah might.",False,False,False,False,False,True,False,False,True,False,False
"The Arizona election is on November 3, but a Superior Court of Arizona ruling on a similar case said that a special election winner “is entitled to take office once the election process is concluded.”",False,True,False,False,False,True,False,False,False,False,False
"The Senate Republicans hold a 53-to-47 majority, and Majority Leader Mitch McConnell has promised that “President Trump’s nominee will receive a vote on the floor of the United States Senate.”",False,False,True,False,False,False,False,False,True,False,False
"This position lies in stark contrast to his blocking of President Barack Obama’s nominee, Merrick Garland to replace Justice Antonin Scalia. in that case, he stalled, offering the explanation that “The American people should have a voice in the selection of their next Supreme Court Justice.”",False,True,False,False,True,False,False,False,False,False,False
"Mark Kelly served as a naval aviator and joined NASA in 1996, piloting space shuttles until 2011. His wife was nearly killed in an assassination attempt in 2011 and the two founded a nonprofit that advocates for gun control.",False,True,False,False,False,True,False,False,False,False,False
The Latest: Graham says GOP now has votes to confirm justice,False,False,False,True,False,False,False,False,True,False,False
WASHINGTON (AP) — The Latest on the Supreme Court vacancy created by the death of Justice Ruth Ginsburg (all times local),False,True,False,False,False,True,False,False,False,False,False
"Republican Sen. Martha McSally, who is running in a special election in Arizona, says re-electing her is key not only to keeping the GOP in control of the Senate but also to ensuring that President Donald Trump’s Supreme Court nominee is confirmed.",False,False,True,False,False,False,False,True,False,False,False
"If her Democratic opponent, Mark Kelly, wins, he could take office as early as Nov. 30. This would shrink the GOP’s Senate majority as it works to confirm Trump’s nominee. ",False,True,False,False,False,False,False,True,False,False,False
"Kelly has maintained a consistent polling lead over McSally, who was appointed to the seat held by John McCain when he died in 2018.",False,False,False,True,False,True,False,False,False,False,False
"McSally said Tuesday on “Fox & Friends"" that, “We’re at ground zero here in Arizona. ",False,False,False,True,False,False,False,False,True,False,False
"She said Kelly ""came out and said he would be with (Senate Minority Leader Chuck) Schumer to delay and get some liberal activist judge on the bench. ",False,False,False,True,False,False,False,False,True,False,False
"So the stakes have just gone up in our race, in particular. We’re a dead heat right now.",False,False,False,True,False,False,False,False,True,False,False
McSally is among Republicans who believe the current Senate should vote on Trump’s nominee without delay. ,False,False,False,True,False,True,False,False,False,False,False
"Currently, Republicans hold 53 seats in the 100-member chamber.",False,False,False,True,False,True,False,False,False,False,False
Senate Judiciary Chairman Lindsey Graham says Republicans have the votes to confirm President Donald Trump's Supreme Court pick before the Nov. 3 presidential election.,False,False,False,True,False,False,False,False,True,False,False
"Graham, R-S.C., said late Monday on Fox News that he wouldn't be intimidated by Democrats, who vehemently oppose any confirmation vote until a new president is inaugurated.",False,False,False,True,False,False,False,False,True,False,False
" In 2016, Senate Majority Leader Mitch McConnell refused to allow a vote on President Barack Obama's nominee, Judge Merrick Garland during an election year.",False,False,False,True,False,True,False,False,False,False,False
"Two years later, Democrats fought unsuccessfully to halt the confirmation of Brett Kavanaugh over allegations that he’d committed sexual assault while in high school — allegations Kavanaugh denied.",False,True,False,False,False,True,False,False,False,False,False
"“They tried to destroy Brett Kavanagh so they could fill the seat,” Graham told Fox News, adding: ""It didn’t work with Kavanaugh.",False,False,False,True,False,False,False,False,True,False,False
We’ve got the votes to confirm Justice Ginsburg’s replacement before the election. We’re going to move forward in the committee. We’re going to report the nomination out of the committee to the floor of the United States Senate so we can vote before the election.”,False,False,False,True,False,False,False,False,True,False,False
"Graham, who subsequently took over the Judiciary chairmanship from Sen. Charles Grassley, said, “After Kavanaugh everything changed with me. They’re not going to intimidate me, Mitch McConnell or anybody else.”",False,False,False,True,False,True,False,False,False,False,False
"“We’re going to have a process that you’ll be proud of,” Graham said.",False,False,False,True,False,True,False,False,False,False,False
"""The nominee is going to be supported by every Republican in the Judiciary Committee. We’ve got the votes to confirm the justice on the floor of the Senate before the election and that’s what’s coming.”",False,False,False,True,False,True,False,False,False,False,False
"Republicans outnumber Democrats in the Senate, 53-47 and can confirm a justice by a simple majority.",False,False,False,True,False,True,False,False,False,False,False
Democrat Cal Cunningham raised more than $28 million in the third quarter of the year for his campaign to unseat Sen. Thom Tillis Thomas (Thom),False,True,False,False,False,True,False,False,False,False,False
 Roland TillisRomney calls first Trump-Biden debate 'an embarrassment' ,False,True,False,False,False,False,False,True,False,False,False
"Senate Democrats want to avoid Kavanaugh 2.0 Poll: Biden, Trump tied in North Carolina MORE (R-N.C.)",False,True,False,False,False,True,False,False,False,False,False
setting a record for the most raised in a single quarter by any North Carolina politician.,False,True,False,False,False,False,False,True,False,False,False
Cunningham’s $28.3 million quarterly haul is nearly four times as much as the $7.4 million he raised in the second quarter of 2020. ,False,True,False,False,False,True,False,False,False,False,False
The massive fundraising sum likely puts Cunningham in a strong position heading into the crucial final month of his campaign.,False,True,False,False,False,False,False,True,False,False,False
"Cunningham’s campaign said that more than 40,000 North Carolinians had given to his Senate bid over the past three months, with many of them contributing more than once. ",False,True,False,False,False,False,True,False,False,False,False
"Ninety-six percent of donations were under $100, the campaign said.",False,True,False,False,False,True,False,False,False,False,False
"“North Carolinians are shattering records quarter after quarter, and our campaign is so grateful to the tens of thousands of North Carolinians who are fueling this campaign,” ",False,False,False,True,False,False,False,True,False,False,False
"Devan Barber, Cunningham’s campaign manager, said in a statement.",False,True,False,False,False,False,False,False,True,False,False
"“The enthusiasm displayed in this record-breaking fundraising haul is not only a testament to North Carolina’s readiness to replace a bad Senator, but also their excitement to send Cal to the Senate and put this seat back to work to fight to expand health care, bring back the economy, and invest in education.",False,False,False,True,False,False,False,True,False,False,False
The fundraising announcement comes hours before the former North Carolina state senator meets with Tillis for the third debate of the Senate race,False,True,False,False,False,True,False,False,False,False,False
Tillis’s campaign has not yet disclosed its third-quarter fundraising total.,False,True,False,False,False,True,False,False,False,False,False
"Tillis is among Democrats top GOP targets in the Senate this year, along with Republcian incumbents in Arizona, Colorado and Maine.",False,False,True,False,False,False,False,True,False,False,False
Democrats need to flip three or four GOP-held Senate seats this year – depending on which party wins control of the Whtie House – to capture a majority in the chamber.,False,True,False,False,False,True,False,False,False,False,False
Most recent polls show Cunningham leading Tillis by single digits.,False,True,False,False,False,True,False,False,False,False,False
" The Cook Political Report, a nonpartisan election handicapper, currently rates the North Carolina Senate contest as a “tossup.”",False,True,False,False,False,False,False,False,True,False,False
Democrat Cal Cunningham raised more than $28 million in the third quarter of the year for his campaign to unseat Sen. Thom Tillis ,False,False,False,True,False,True,False,False,False,False,False
a record for the most raised in a single quarter by any North Carolina politician,False,False,False,True,False,True,False,False,False,False,False
Cunningham’s $28.3 million quarterly haul is nearly four times as much as the $7.4 million he raised in the second quarter. ,False,False,False,True,False,True,False,False,False,False,False
The massive fundraising sum likely puts Cunningham in a strong position heading into the crucial final month of his campaign.,False,True,False,False,False,False,False,True,False,False,False
"His campaign said that more than 40,000 North Carolinians had given to his Senate bid over the past three months",False,False,True,False,False,False,False,False,True,False,False
"with many of them contributing more than once. Ninety-six percent of donations were under $100, the campaign said.",False,False,False,True,False,True,False,False,False,False,False
Cunningham continues to lead in the polls,False,False,False,True,False,True,False,False,False,False,False
Two polls released this week show Democrat Cal Cunningham still leading incumbent Republican Thom Tillis in the closely-watched North Carolina U.S. Senate race,False,True,False,False,False,False,False,False,True,False,False
They’re the first polls done since the death of Supreme Court Justice Ruth Bader Ginsburg,False,True,False,False,False,True,False,False,False,False,False
ensuing political battle,False,False,False,True,False,False,False,True,False,False,False
"Tillis, who has been trailing in polls all year, shifted his campaign’s focus last week to the approval of Amy Coney Barrett, President Trump’s pick to replace Ginsburg",False,True,False,False,False,True,False,False,False,False,False
That change didn't affect the latest polls much,False,True,False,False,False,True,False,False,False,False,False
"A Meredith College poll of registered voters released Monday shows him behind Cunningham 43.1% to 41.8%, a margin that is in the poll's statistical margin of error",False,True,False,False,False,False,False,False,True,False,False
That's closest Tillis has been in any poll to Cunningham in months,False,True,False,False,False,True,False,False,False,False,False
"  A poll from UMass-Lowell released Tuesday, which surveyed likely voters, has Cunningham up 49 to 43%.",False,True,False,False,False,False,False,False,True,False,False
The North Carolina election is considered crucial ,False,False,False,True,False,False,False,True,False,False,False
one of the four states that Democrats could win to retake control of the U.S. Senate,False,False,False,True,False,False,False,True,False,False,False
The new focus on the Supreme Court opening and confirmation process in the U.S. Senate isn't likely to sway voters to either candidate,False,False,False,True,False,False,False,True,False,False,False
says Western Carolina University political scientist Dr. Chris Cooper.,False,True,False,False,False,False,False,False,True,False,False
" If Tillis thinks the issue could fire up his base of voters, the same could be true of Cunningham supporters reasons Cooper.",False,False,False,True,False,False,False,True,False,False,False
"""There's an old saying for every action, there's an equal and opposite reaction.  It's not just true in physics, but it's also true in politics as well,"" Cooper says.",False,True,False,False,False,False,False,False,True,False,False
"""I think (the Supreme Court opening"" is going to activate both bases.  I don't think it's going to persuade anyone.  But it may take the volume which is already at ten, and crank it up to eleven.""",False,False,False,True,False,False,False,True,False,False,False
"Also, this poll came out today:",False,True,False,False,False,True,False,False,False,False,False
And this race has now moved from toss-up to Tilt Democrat:,False,True,False,False,False,True,False,False,False,False,False
"In this new round of rating changes from Inside Elections, the reelection races of GOP Sens. Susan Collins of Maine and Thom Tillis of North Carolina both move from Toss-up to Tilt Democratic.",False,True,False,False,False,True,False,False,False,False,False
"While each race has some unique characteristics, both incumbents have been consistently behind or just even with their challengers in the polls for a while",False,True,False,False,False,True,False,False,False,False,False
both should now be considered at least narrow underdogs to win in November,False,False,False,True,False,False,False,True,False,False,False
Democratic prospects in South Carolina are also improving as the Senate race moves from Lean Republican to Tilt Republican,False,False,False,True,False,False,False,True,False,False,False
Democrat Jaime Harrison has the momentum against GOP incumbent Lindsey Graham,False,False,False,True,False,False,False,True,False,False,False
The question is whether he can get the last few difficult points to win or he becomes this cycle’s Beto O’Rourke,False,False,False,True,False,False,False,True,False,False,False
"With the recent rating changes, Democrats currently have the advantage in four races with Republican incumbents: Colorado (Cory Gardner), Arizona (Martha McSally) and now Maine and North Carolina",False,True,False,False,False,True,False,False,False,False,False
"If Democrats indeed win that quartet of races, they can control the Senate if Joe Biden wins the presidential race",False,True,False,False,False,True,False,False,False,False,False
 Vice President Kamala Harris would break any 50-50 ties,False,True,False,False,False,True,False,False,False,False,False
" The good news for Democrats is that they have more opportunities than just those four races. Iowa, Montana, Kansas, South Carolina, and the two Georgia races are very competitive. And Texas and Alaska can’t be ignored.",False,False,False,True,False,False,False,True,False,False,False
Let’s keep up the momentum and flip North Carolina Blue.,False,False,False,True,True,False,False,False,False,False,False
"Click below to donate and get involved with Cunningham, Cooper, Biden and their fellow North Carolina Democrats campaigns",False,False,False,True,True,False,False,False,False,False,False
"Nagy: Bears see ""enough improvement"" from Trubisky so far originally appeared on NBC Sports Chicago",False,True,False,False,False,False,False,True,False,False,False
It shouldn't surprise anyone that Mitch Trubisky's painted an incomplete picture through the first couple games of the Bears' 2020 season.,False,True,False,False,True,False,False,False,False,False,False
" It has, after all, only been two games",False,True,False,False,False,True,False,False,False,False,False
while rebounding from 2019 was a reasonable expectation for the Bears' quarterback,False,True,False,False,False,False,False,True,False,False,False
consistency's never been his strength.,False,True,False,False,False,False,False,True,False,False,False
"There have been some good quarters and some bad quarters so far, but through the first 1/8th of the season,",False,True,False,False,False,True,False,False,False,False,False
 the Bears have liked what they've seen from Trubisky. ,False,True,False,False,False,False,False,True,False,False,False
"Yeah, I would say that right now, we definitely see enough improvement,",False,False,False,True,False,False,False,True,False,False,False
Matt Nagy told reporters on Wednesday afternoon.,False,True,False,False,False,False,False,False,True,False,False
I think that he knows that there’s plenty more that can happen,False,False,False,True,False,False,False,True,False,False,False
"There’s a couple reads that he had in that game that, you know, was No. 1 in the progression and he didn’t get to. He knows that.""",False,False,False,True,False,False,False,True,False,False,False
"Nagy went on to say that despite a few missed reads, the team's actually been pleased with the decision making that Trubisky's displayed so far. What's been maybe even more encouraging to them has been the QB's short memory; bad plays that might have sunk entire drives – or games – in 2019 simply aren't getting to Trubisky like they used to. ",False,False,False,True,False,False,False,True,False,False,False
